Date,RM,RF,Year,Month
2008-04-10,0.018628438,0,2008,4
2008-04-09,-0.000567288,0,2008,4
2008-04-08,-0.006522494,0,2008,4
2008-04-07,0.015524049,0,2008,4
2008-04-03,-0.001043541,0,2008,4
2008-04-02,0.022043488,0,2008,4
2008-04-01,-0.017832417,0,2008,4
2008-03-31,-0.00590133,0,2008,3
2008-03-28,0.002036963,0,2008,3
2008-03-27,-0.018484219,0,2008,3
2008-03-26,-0.003077854,0,2008,3
2008-03-25,-0.007925237,0,2008,3
2008-03-24,0.039924974,0,2008,3
2008-03-21,0.02247284,0,2008,3
2008-03-20,0.019349948,0,2008,3
2008-03-19,0.015082243,0,2008,3
2008-03-18,0.006540536,0,2008,3
2008-03-17,-0.019105814,0,2008,3
2008-03-14,-0.006040684,0,2008,3
2008-03-13,-0.026591822,0,2008,3
2008-03-12,0.006406891,0,2008,3
2008-03-11,0.009907981,0,2008,3
2008-03-10,-0.027194897,0,2008,3
2008-03-07,-0.014697458,0,2008,3
2008-03-06,0.020590645,0,2008,3
2008-03-05,0.001633981,0,2008,3
2008-03-04,0.025080874,0,2008,3
2008-03-03,-0.017816983,0,2008,3
2008-02-29,-0.005828354,0,2008,2
2008-02-27,0.018586439,0,2008,2
2008-02-26,0.002577746,0,2008,2
2008-02-25,0.021902374,0,2008,2
2008-02-22,0.002817239,0,2008,2
2008-02-21,0.02425242,0,2008,2
2008-02-20,-0.016193091,0,2008,2
2008-02-19,0.01879546,0,2008,2
2008-02-15,0.001409994,0,2008,2
2008-02-14,0.041683056,0,2008,2
2008-02-13,-0.000364079,0,2008,2
2008-02-12,-0.015727151,0,2008,2
2008-02-01,0.020324074,0,2008,2
2008-01-31,-0.002965467,0,2008,1
2008-01-30,-0.00434506,0,2008,1
2008-01-29,0.012106939,0,2008,1
2008-01-28,-0.032792435,0,2008,1
2008-01-25,0.029604699,0,2008,1
2008-01-24,0.014665785,0,2008,1
2008-01-23,-0.022891179,0,2008,1
2008-01-22,-0.065132796,0,2008,1
2008-01-21,-0.009096296,0,2008,1
2008-01-18,0.010247321,0,2008,1
2008-01-17,-0.009524986,0,2008,1
2008-01-16,-0.029577024,0,2008,1
2008-01-15,0.031251338,0,2008,1
2008-01-14,0.017946748,0,2008,1
2008-01-11,-0.003470158,0,2008,1
2008-01-10,-0.003437204,0,2008,1
2008-01-09,0.015339869,0,2008,1
2008-01-08,0.010089594,0,2008,1
2008-01-07,-0.041080877,0,2008,1
2008-01-04,0.004508687,0,2008,1
2008-01-03,-0.016682586,0,2008,1
2008-01-02,-0.021540556,0,2008,1
2007-12-31,0.013020204,0,2007,12
2007-12-28,0.010011162,0,2007,12
2007-12-27,0.019289171,0,2007,12
2007-12-26,-0.001307691,0,2007,12
2007-12-25,0.003882992,0,2007,12
2007-12-24,0.024433856,0,2007,12
2007-12-21,0.010736813,0,2007,12
2007-12-20,-0.019618657,0,2007,12
2007-12-19,0.026503095,0,2007,12
2007-12-18,-0.002995843,0,2007,12
2007-12-17,-0.035381519,0,2007,12
2007-12-14,-0.008533271,0,2007,12
2007-12-13,-0.03567256,0,2007,12
2007-12-12,-0.017073902,0,2007,12
2007-12-11,0.00468712,0,2007,12
2007-12-10,-0.01425643,0,2007,12
2007-12-07,0.00321701,0,2007,12
2007-12-06,0.002012228,0,2007,12
2007-12-05,0.002967191,0,2007,12
2007-12-04,0.007856624,0,2007,12
2007-12-03,-0.000298146,0,2007,12
2007-11-30,0.01649929,0,2007,11
2007-11-29,0.020633716,0,2007,11
2007-11-28,-0.011879519,0,2007,11
2007-11-27,-0.017889786,0,2007,11
2007-11-26,0.02231186,0,2007,11
2007-11-23,-0.018491959,0,2007,11
2007-11-22,0.001798657,0,2007,11
2007-11-21,-0.022664805,0,2007,11
2007-11-20,1.73E-05,0,2007,11
2007-11-19,-0.009596318,0,2007,11
2007-11-16,-0.015787033,0,2007,11
2007-11-15,-0.004195493,0,2007,11
2007-11-14,0.024718094,0,2007,11
2007-11-13,0.006527799,0,2007,11
2007-11-12,-0.033475942,0,2007,11
2007-11-09,0.003730316,0,2007,11
2007-11-08,-0.038992626,0,2007,11
2007-11-07,0.000798468,0,2007,11
2007-11-06,-0.001697355,0,2007,11
2007-11-05,0.00382936,0,2007,11
2007-11-02,-0.033874996,0,2007,11
2007-11-01,-0.011650261,0,2007,11
2007-10-31,-0.004771504,0,2007,10
2007-10-30,-0.005295681,0,2007,10
2007-10-29,0.018519422,0,2007,10
2007-10-26,0.006610397,0,2007,10
