Date,Open,High,Low,Close,Volume,Adj Close
2004-05-14,51.98,52.44,50.14,50.60,63188700,34.29
2004-05-13,52.44,52.44,50.60,52.44,53424600,35.53
2004-05-12,53.36,53.82,52.44,52.90,53056800,35.84
2004-05-11,51.06,52.90,49.22,52.90,53964800,35.84
2004-05-10,51.52,51.52,49.68,50.60,59313600,34.29
2004-05-07,50.60,52.44,50.60,52.44,63939600,35.53
2004-05-06,51.52,52.44,51.06,51.06,85926100,34.60
2004-05-05,54.28,54.28,50.60,50.60,80569800,34.29
2004-05-04,54.28,54.74,53.82,54.28,32241500,36.78
2004-05-03,52.90,53.82,52.44,53.36,36149100,36.16
2004-04-30,55.20,55.20,51.98,52.90,94617400,35.84
2004-04-29,55.20,56.12,54.74,55.66,93476100,37.71
2004-04-28,57.96,58.42,57.04,57.04,34021600,38.65
2004-04-27,58.42,58.42,57.04,58.42,49632500,39.58
2004-04-26,58.88,59.34,58.42,58.42,60214400,39.58
2004-04-23,57.96,58.88,57.50,58.88,99222500,39.90
2004-04-22,57.50,58.88,56.12,57.04,135585000,38.65
2004-04-21,56.12,56.58,56.12,56.58,46526300,38.34
2004-04-20,55.20,56.58,55.20,56.12,41552300,38.03
2004-04-19,55.66,56.12,54.74,54.74,54785600,37.09
2004-04-16,55.66,56.58,55.20,56.12,65980700,38.03
2004-04-15,57.96,57.96,56.12,56.12,46099500,38.03
2004-04-14,55.66,58.42,55.20,57.96,69107700,39.27
2004-04-13,56.58,57.04,55.20,55.66,32743800,37.71
2004-04-12,55.66,57.04,55.66,56.12,33368300,38.03
2004-04-09,55.66,56.12,55.20,55.20,20181100,37.40
2004-04-08,56.12,56.58,55.66,56.12,30679200,38.03
2004-04-07,56.58,57.04,56.12,56.58,17315700,38.34
2004-04-06,57.50,57.50,56.12,57.04,51413200,38.65
2004-04-05,56.12,57.04,55.20,57.04,65505000,38.65
2004-04-02,54.74,55.20,53.82,54.74,37113400,37.09
2004-04-01,54.74,55.20,54.28,54.74,41385200,37.09
2004-03-31,55.66,56.12,54.74,55.20,36673400,37.40
2004-03-30,56.12,56.58,55.20,55.20,47246100,37.40
2004-03-29,55.20,56.58,54.74,56.58,50681700,38.34
2004-03-26,54.28,54.74,53.36,53.82,51429600,36.47
2004-03-25,54.28,54.28,52.90,53.36,79813200,36.16
2004-03-24,53.82,53.82,52.44,53.36,153903000,36.16
2004-03-23,50.60,52.44,50.60,50.60,271517700,34.29
2004-03-22,54.28,54.28,54.28,54.28,11802800,36.78
